01/06/1974,1,The Old Ones Are Hard to Kill,https://www.cbsrmt.com/episode/1-the-old-ones-are-hard-to-kill.html,An old lady rents a room to a sick boarder. She runs into problems with his strange deathbed confession.,,
01/07/1974,2,The Return of the Moresbys,https://www.cbsrmt.com/episode/2-the-return-of-the-moresbys.html,"A husband kills his wife for donating all their money. Now, he is certain that she has been reincarnated in the form of a cat to wreak revenge on him.",,
01/08/1974,3,The Bullet,https://www.cbsrmt.com/episode/3-the-bullet.html,An accident kills a man but he is made to return to Earth to trade places with the fated victim.,,
01/09/1974,4,Lost Dog,https://www.cbsrmt.com/episode/4-lost-dog.html,"A husband cannot appreciate his wife's phobia of dogs. Once he gets one home, his wife sets it against him.",,
01/10/1974,5,No Hiding Place,https://www.cbsrmt.com/episode/5-no-hiding-place.html,The would-be CEO of his father-in-law's corporation is threatened with the revelation of a dark deed in his past.,,
01/11/1974,6,Honeymoon with Death,https://www.cbsrmt.com/episode/6-honeymoon-with-death.html,Her husband disappears after their return from the honeymoon and the young wife's sister insists that the nuptial was a mere fantasy. She attempts to persuade a cop that her husband was indeed killed.,,
01/12/1974,7,I Warn You Three Times,https://www.cbsrmt.com/episode/7-i-warn-you-three-times.html,A daring attempt to clear their car windows during a snowstorm leads to the mysterious disappearance of a woman's husband. The reasons turn out to be increasingly intriguing.,,
01/13/1974,8,Cold Storage,https://www.cbsrmt.com/episode/8-cold-storage.html,A man finds out that his believed to be dead mother is still living and unleashes a Machiavellian plan to acquire her wealth and property - by shutting her away in the basement.,,
01/14/1974,9,Death Rides a Stallion,https://www.cbsrmt.com/episode/9-death-rides-a-stallion.html,An old flame torments a playboy after her death in a horse riding accident.,,
01/15/1974,10,The Resident,https://www.cbsrmt.com/episode/10-the-resident.html,A move from the countryside to town leaves a retired lady prey to a cat named Evil and a young girl who forcefully moves in with her!,,
01/16/1974,11,Accounts Receivable,https://www.cbsrmt.com/episode/11-accounts-receivable.html,"Burdened with the responsibility of his sick father who has been recently released from jail, a son must also struggle to find $15,000 and buy out his business associate in order to keep his business afloat",,
01/17/1974,12,You Can Die Again,https://www.cbsrmt.com/episode/12-you-can-die-again.html,A husband believes himself culpable for the murder of his wife. He is also convinced of his affair with another woman. But he simply can't persuade a police officer to believe either.,,
01/18/1974,13,A Ring of Roses,https://www.cbsrmt.com/episode/13-a-ring-of-roses.html,A trip to the country to visit a friend turns nightmarish as a couple comes across a small girl being whipped by a man. It's only the beginning of a journey back into an old family curse and a murder - all wrapped up in a ring.,,
01/19/1974,14,The Girl Who Found Things,https://www.cbsrmt.com/episode/14-the-girl-who-found-things.html,A young girl with criminal tendencies is taken by a couple who discover her peculiar talent for retrieving lost things - including corpses,,
01/20/1974,15,The Chinaman Button,https://www.cbsrmt.com/episode/15-the-chinaman-button.html,A perfectly anonymous murder offers the opportunity to earn a fortune for a man in dire financial straits.,,
01/21/1974,16,Dead for a Dollar,https://www.cbsrmt.com/episode/16-dead-for-a-dollar.html,"Two cheated men plan the murder of the trader who swindled them. Unbeknownst to them, somebody has already carried out the deed, relieved them of the rewards, but left the blame behind.",,
01/22/1974,17,A Very Old Man,https://www.cbsrmt.com/episode/17-a-very-old-man.html,A wizened man has clairvoyance abilities and even relieve physical suffering with a simple touch,,
01/23/1974,18,And Nothing but the Truth,https://www.cbsrmt.com/episode/18-and-nothing-but-the-truth.html,A young investigator guesses at the facts of a hit-and-run case and believes the convict to be a willing victim in lieu of his son. But he cannot prove it to his superior.,,
01/24/1974,19,Deadly Honeymoon,https://www.cbsrmt.com/episode/19-deadly-honeymoon.html,A honeymoon turns nightmarish as a woman realises her husband to be culpable of the murders of his previous wives - during their honeymoon,,
01/25/1974,20,Speak of the Devil,https://www.cbsrmt.com/episode/20-speak-of-the-devil.html,A pre-wedding spiritual seance leads to a young woman being tortured by a demon.,,
01/26/1974,21,The Ring of Truth,https://www.cbsrmt.com/episode/21-the-ring-of-truth.html,A tortured story about a father's coercion to get his daughter to testify against her beloved in a homicide by vehicle case.,,
01/27/1974,22,Time and Again,https://www.cbsrmt.com/episode/22-time-and-again.html,A clockmaker comes across a mysterious clock that can give him an additional hour every day. All it needs is a little blood in return.,,
01/28/1974,23,Three Women,https://www.cbsrmt.com/episode/23-three-women.html,A writer is pressed by his publisher to alter the ending of his book in order to take fuller advantage of the character of his heroine. The writer hesitates with the premonition that the character crafted by him might actually be alive,,
01/29/1974,24,The Man Who Heard Voices,https://www.cbsrmt.com/episode/24-the-man-who-heard-voices.html,Can euthanasia ever be completely willed by the sufferer? A well-respected lawyer's life is disrupted by the voice of his wife whom he had killed in mercy and threatens the affair he had started after his wife took sick,,
01/30/1974,25,Mother Love,https://www.cbsrmt.com/episode/25-mother-love.html,An unusual favor and $6000 are all a fortune teller needs to grant the wish of a desperate woman to conceive,,
01/31/1974,26,The Man Who Asked for Yesterday,https://www.cbsrmt.com/episode/26-the-man-who-asked-for-yesterday.html,"A man is murdered by his wife. After death, he wishes to be granted the chance to live the finale of his life over again",,
02/01/1974,27,Dead Ringer,https://www.cbsrmt.com/episode/27-dead-ringer.html,A woman accidentally comes across a dead ringer for her husband. She decides to enlist his cooperation to help dispose of her husband,,
02/02/1974,28,A Ghostly Game of Death,https://www.cbsrmt.com/episode/28-a-ghostly-game-of-death.html,A prospective buyer for an ancient dwelling recruits the services of a ghost hunter to get rid of the spirit of the wife of a sea captain.,,
02/03/1974,29,The Sign of the Beast,https://www.cbsrmt.com/episode/29-the-sign-of-the-beast.html,An arrogant archaeologist disregards tribal customs and extends praise. But her motives are less than honourable and involves robbing old tribal artifacts. But what she forgets to count in is divine retribution.,,
02/04/1974,30,Here Goes the Bride,https://www.cbsrmt.com/episode/30-here-goes-the-bride.html,The ghost of a former wife killed under intriguing conditions reveals herself to the new bride in the husband's estate.,,
02/05/1974,31,The Lady Was a Tiger,https://www.cbsrmt.com/episode/31-the-lady-was-a-tiger.html,A femme fatale double agent frames an unemployed reporter for homicide in Paris.,,
02/06/1974,32,After the Verdict,https://www.cbsrmt.com/episode/32-after-the-verdict.html,An upcoming attorney discovers to his dismay that the man he acquitted of homicide is indeed culpable. Now he must find a way to straighten out the facts.,,
02/08/1974,33,Conspiracy to Defraud,https://www.cbsrmt.com/episode/33-conspiracy-to-defraud.html,The hero is a federal detective sent to France in order to track down heroin supplies. The villain is a Greek drug dealer who is not ready to even spare his girlfriend.,,
02/09/1974,34,The Deadly Hour,https://www.cbsrmt.com/episode/34-the-deadly-hour.html,"A self-doubting man is nearly driven to insanity by the infidelity of his wife and stops speaking. Years later in a counselling session, he admits to having confined the adulterous pair in a cavern and hear them meet their death",,
02/10/1974,35,Dead Man's Mountain,https://www.cbsrmt.com/episode/35-dead-man-s-mountain.html,An architect with a strange passion to create a cursed mountain. Any who attempt to climb it lose their beloved,,
02/12/1974,36,A Dream of Death,https://www.cbsrmt.com/episode/36-a-dream-of-death.html,Reincarnation beliefs of a college professor are accompanied by the dread of having broken an ancient agreement,,
02/13/1974,37,Dig Me Deadly,https://www.cbsrmt.com/episode/37-dig-me-deadly.html,Archaeology students dig out an ancient decomposed corpse of a woman attached to a skeleton and a female detective is recruited to reveal the mystery behind it.,,
02/14/1974,38,Under Grave Suspicion,https://www.cbsrmt.com/episode/38-under-grave-suspicion.html,A bitter fight between a couple. A sea side cottage. And turbulent weather that threatens to turn into a hurricane.,,
02/16/1974,39,A Lady Never Loses Her Head,https://www.cbsrmt.com/episode/39-a-lady-never-loses-her-head.html,An American lady marries a blue-blooded British man and arrives at his manor house. There she is troubled by a headless apparition on horseback who looks unnervingly familiar in the mirror...,,
02/17/1974,40,The Walking Corpse,https://www.cbsrmt.com/episode/40-the-walking-corpse.html,An unfortunate American couple is caught up in a coup by a Banana Republic despot who intends to take over the little island with a horde of zombies.,,
02/18/1974,41,Blizzard of Terror,https://www.cbsrmt.com/episode/41-blizzard-of-terror.html,A bitter couple gets caught up in a deadly storm and seek shelter in a remote cabin. But there is someone already there. And that someone might just be a homicidal maniac.,,
